日期,总市值(亿元),市盈率PE,市净率PB,每股股利(元),在运机组(台),在建机组(台),在运装机(万千瓦),在建装机(万千瓦)
2018-12-31,,,,,22.0,,2501.6,
2019-06-30,,,,,24.0,4.0,2729.0,484.4
2019-09-30,2120.95,18.9,2.39,,,,,
2019-12-31,1817.96,17.91,2.02,0.076,24.0,5.0,2729.0,605.5
2020-03-31,1469.52,16.53,1.61,,,,,
2020-06-30,1494.77,15.34,1.64,,,,,
2020-09-30,1449.32,15.71,1.54,,,,,
2020-12-31,1424.07,14.92,1.49,0.08,24.0,7.0,2729.0,847.8
2021-03-31,1434.17,13.79,1.47,,,,,
2021-06-30,1348.32,13.69,1.39,,,,,
2021-09-30,1701.81,16.85,1.7,,,,,
2021-12-31,1580.61,16.22,1.57,0.084,,6.0,,726.7
2022-03-31,1378.62,13.51,1.33,,,,,
2022-06-30,1413.97,13.93,1.37,,,,,
2022-09-30,1333.17,13.61,1.26,,,,,
2022-12-31,1358.42,13.65,1.27,0.087,26.0,,2956.4,
2023-03-31,1449.32,13.67,1.31,,,,,
2023-06-30,1570.51,14.27,1.43,,,,,
2023-09-30,1585.66,14.6,1.41,,,,,
2023-12-31,1570.51,14.67,1.39,0.094,27.0,11.0,3070.1,1332.2
2024-03-31,2040.15,18.88,1.74,,,,,
2024-06-30,2338.1,21.53,2.02,,,,,
2024-09-30,2272.45,20.67,1.92,,,,,
2024-12-31,2085.6,19.21,1.75,0.095,28.0,16.0,3183.8,1937.8
2025-03-31,1833.11,17.79,1.5,,,,,
2025-06-30,1838.16,18.96,1.52,,,,,
2025-09-30,1828.06,19.36,1.48,,,,,
2025-12-31,1898.76,19.48,1.54,0.086,28.0,20.0,3183.8,2422.2
2026-03-31,2328.0,24.65,1.85,,,,,
2026-06-30,1974.5,19.95,1.6,,30.0,18.0,3411.2,2180.0
2026-08-03,,,,,31.0,19.0,3524.9,2301.1
2026-08-28,2141.15,21.63,1.73,,,,,
