日期,总市值(亿元),市盈率PE,市净率PB,每股股利(元),在运机组(台),在建机组(台),在运装机(万千瓦),在建装机(万千瓦)
2015-06-30,2468.05,37.56,5.6,,,,,
2015-09-30,1712.71,26.21,3.78,,,,,
2015-12-31,1801.47,34.32,3.95,0.09,12.0,9.0,1140.0,1035.0
2016-03-31,1457.79,31.64,3.11,,,,,
2016-06-30,1289.73,30.22,2.65,,,,,
2016-09-30,1253.85,26.77,2.59,,,,,
2016-12-31,1333.16,24.51,2.7,0.11,14.0,10.0,1330.0,1150.0
2017-03-31,1370.93,24.04,2.7,,,,,
2017-06-30,1474.78,26.66,2.93,,,,,
2017-09-30,1408.69,23.91,2.69,,,,,
2017-12-31,1387.92,25.26,2.63,0.112,16.0,9.0,1520.0,1035.0
2018-03-31,1268.96,23.17,2.35,,,,,
2018-06-30,1066.91,19.35,1.99,,,,,
2018-09-30,1134.89,22.18,2.05,,,,,
2018-12-31,995.15,17.34,1.77,0.12,18.0,8.0,1710.0,920.0
2019-03-31,1142.44,19.21,1.97,,,,,
2019-06-30,1049.91,18.23,1.84,,,,,
2019-09-30,998.93,17.81,1.71,,,,,
2019-12-31,944.16,16.34,1.59,0.122,21.0,5.0,1995.0,575.0
2020-03-31,830.86,15.44,1.37,,,,,
2020-06-30,772.33,12.17,1.27,,,,,
2020-09-30,828.98,11.23,1.31,,,,,
2020-12-31,929.06,12.98,1.42,0.13,21.0,4.0,1995.0,460.0
2021-03-31,1038.58,13.16,1.55,,,,,
2021-06-30,955.49,11.58,1.42,,,,,
2021-09-30,1361.48,17.0,1.96,,,,,
2021-12-31,1567.31,18.44,2.2,0.15,24.0,6.0,2280.0,690.0
2022-03-31,1531.43,16.12,1.97,,,,,
2022-06-30,1295.39,14.17,1.63,,,,,
2022-09-30,1104.67,11.58,1.35,,,,,
2022-12-31,1133.0,12.82,1.37,0.17,25.0,7.0,2375.0,805.0
2023-03-31,1206.64,13.74,1.41,,,,,
2023-06-30,1331.27,14.3,1.55,,,,,
2023-09-30,1378.48,13.72,1.55,,,,,
2023-12-31,1416.25,13.54,1.57,0.195,25.0,9.0,2375.0,1035.0
2024-03-31,1735.37,16.44,1.86,,,,,
2024-06-30,2012.96,19.35,2.18,,,,,
2024-09-30,2105.49,20.65,2.2,,,,,
2024-12-31,1969.53,22.53,1.96,0.16,25.0,12.0,2375.0,1380.0
2025-03-31,1739.15,20.33,1.68,,,,,
2025-06-30,1759.92,21.83,1.69,,,,,
2025-09-30,1644.73,22.92,1.55,,,,,
2025-12-31,1633.4,19.09,1.51,0.18,28.0,12.0,2660.0,1380.0
2026-03-31,1708.94,22.57,1.55,,,,,
2026-06-30,1705.16,25.44,1.57,,29.0,12.0,2755.0,1380.0
2026-08-28,1684.39,25.13,1.55,,,,,
2026-12-31,,,,0.02,,,,
